PDB_ID,Resolution,Year,Ki,Measurement,Is_Ki
3g2y,1.31,2009,2,Ki=10mM,True
3pce,2.06,1998,2,Ki=10mM,True
3gv9,1.8,2009,2.12,Ki=7.5mM,True
6abx,1.7,2019,2.14,Ki=7.19mM,True
4q90,1.54,2015,2.15,Ki=7.0mM,True
4tim,2.4,1992,2.16,Ki=6.9mM,True
3gqz,1.8,2009,2.17,Ki=6.7mM,True
5z5f,2.1,2018,2.17,Ki=6.8mM,True
1m0n,2.2,2002,2.22,Ki=6.0mM,True
1ajp,2.31,1997,2.23,Ki=5.85mM,True
3i3b,2.2,2010,2.23,Ki=5.9mM,True
1ew8,2.2,2002,2.26,Ki=5.5mM,True
1ps3,1.8,2003,2.28,Ki=5.2mM,True
3ip8,1.5,2009,2.28,Ki=5.2mM,True
3dyo,1.8,2008,2.3,Ki=5.0mM,True
3kgq,1.7,2010,2.3,Ki=5mM,True
3mhw,1.45,2010,2.3,Ki=5.03mM,True
3pcg,1.96,1998,2.3,Ki=5mM,True
3rv4,1.98,2011,2.3,Ki=5mM,True
4jsz,1.9,2013,2.3,Ki=5000uM,True
1m0o,2.4,2002,2.31,Ki=4.9mM,True
4y0a,1.91,2015,2.31,Ki=4950uM,True
4iie,2,2013,2.34,Ki=4.6mM,True
3gtc,1.9,2009,2.35,Ki=4.5mM,True
3g2z,1.5,2009,2.36,Ki=4.4mM,True
3t0d,1.93,2012,2.37,Ki=4.3mM,True
6md8,1.4,2019,2.38,Ki=4200uM,True
1f73,1.95,2000,2.39,Ki=4.1mM,True
1nwl,2.4,2003,2.39,Ki=4.1mM,True
3mjl,1.9,2010,2.44,Ki=3.6mM,True
4x8u,2.1,2015,2.46,Ki=3.5mM,True
1gyx,1.35,2002,2.48,Ki=3.3mM,True
4kz7,1.43,2014,2.49,Ki=3.2mM,True
1ai4,2.35,1997,2.5,Ki=3.13mM,True
3g30,1.8,2009,2.51,Ki=3.1mM,True
3gr2,1.8,2009,2.52,Ki=3mM,True
3mfv,1.9,2010,2.52,Ki=3000uM,True
3vdb,2.05,2012,2.52,Ki=3.03mM,True
3b3s,1.18,2007,2.55,Ki=2800uM,True
3kgp,2.35,2009,2.57,Ki=2.68mM,True
3gvb,1.8,2009,2.59,Ki=2.6mM,True
4o3c,1.5,2014,2.59,Ki=2.57mM,True
1ajn,2.36,1997,2.63,Ki=2.32mM,True
4q7w,1.45,2015,2.64,Ki=2300uM,True
4q8y,1.45,2015,2.64,Ki=2300uM,True
4ufl,2.4,2015,2.64,Ki=2.3mM,True
3lvw,2.5,2010,2.67,Ki=2.12mM,True
2fzc,2.1,2006,2.7,Ki=1990uM,True
6nmb,2.3,2019,2.7,Ki=2.01mM,True
2rkd,1.9,2008,2.72,Ki=1.9mM,True
2qwb,2,1998,2.74,Ki=1820uM,True
4m6u,1.8,2014,2.74,Ki=1.8mM,True
1rql,2.4,2004,2.75,Ki=1.79mM,True
4bt5,1.1,2013,2.76,Ki=1.72mM,True
2bet,2.2,2004,2.77,Ki=1.7mM,True
3fcq,1.75,2009,2.77,Ki=1.7mM,True
4kz3,1.67,2014,2.77,Ki=1.7mM,True
4ykk,1.38,2015,2.77,Ki=1.7mM,True
2bza,1.9,1999,2.8,Ki=1.58mM,True
3djx,1.69,2009,2.81,Ki=1557.9uM,True
5th4,1.47,2017,2.85,Ki=1420uM,True
1cet,2.05,1999,2.89,Ki=1.3mM,True
1iih,2.2,2001,2.89,Ki=1.3mM,True
3g31,1.7,2009,2.89,Ki=1.3mM,True
4gqq,1.35,2012,2.89,Ki=1.3mM,True
4llx,1.75,2014,2.89,Ki=1300uM,True
3c2u,1.3,2008,2.9,Ki=1.25mM,True
1h2k,2.15,2002,2.92,Ki=1.2mM,True
3k8c,2.1,2010,2.92,Ki=1.2mM,True
4lm3,1.49,2014,2.92,Ki=1200uM,True
1tng,1.8,1994,2.93,Ki=1.17mM,True
1f4e,1.9,2000,2.96,Ki=1.1mM,True
3g34,1.31,2009,2.96,Ki=1.1mM,True
4owm,1.99,2014,2.96,Ki=1090uM,True
3djq,1.53,2009,2.98,Ki=1046.4uM,True
4bps,1.08,2013,2.99,Ki=1.02mM,True
1ecq,2,2000,3,Ki=1.0mM,True
2rka,1.95,2008,3,Ki=1mM,True
4llk,1.55,2014,3,Ki=990uM,True
4r3w,1.91,2014,3,Ki=1.0mM,True
4q81,1.55,2015,3.02,Ki=950uM,True
4lm2,1.55,2014,3.03,Ki=940uM,True
1rtf,2.3,1997,3.04,Ki=910uM,True
3t08,2,2012,3.04,Ki=0.91mM,True
4lm4,1.48,2014,3.04,Ki=910uM,True
1f74,1.6,2000,3.05,Ki=0.9mM,True
1uj5,2,2004,3.05,Ki=0.89mM,True
1rnm,2,1996,3.07,Ki=844.2uM,True
3mof,1.75,2010,3.07,Ki=860uM,True
1y1z,1.5,2005,3.08,Ki=0.831mM,True
1ec9,2,2000,3.1,Ki=0.8mM,True
4kz6,1.68,2014,3.1,Ki=0.8mM,True
4bt3,1.1,2013,3.12,Ki=0.76mM,True
6d1k,1.2,2019,3.13,Ki=741.3uM,True
2ya7,1.89,2011,3.14,Ki=0.72mM,True
1e6q,1.35,2001,3.15,Ki=0.7mM,True
3g1v,1.3,2009,3.19,Ki=645uM,True
1br6,2.3,1998,3.22,Ki=0.6mM,True
1e6s,1.35,2000,3.22,Ki=0.6mM,True
1ew9,2,2002,3.22,Ki=0.6mM,True
1k1y,2.4,2003,3.22,Ki=0.6mM,True
2ri9,1.95,2008,3.22,Ki=0.6mM,True
2uy3,1.9,2007,3.22,Ki=600uM,True
1px4,1.6,2004,3.23,Ki=0.59mM,True
4lm1,1.6,2014,3.23,Ki=590uM,True
3qfz,2.39,2011,3.24,Ki=570uM,True
4qlk,1.83,2015,3.24,Ki=0.57mM,True
1v2j,1.9,2004,3.25,Ki=566uM,True
4lm0,1.66,2014,3.25,Ki=560uM,True
5yas,2.2,1999,3.26,Ki=0.55mM,True
3d52,1.6,2008,3.28,Ki=520uM,True
3tfu,1.94,2011,3.28,Ki=520uM,True
6ibk,1.99,2019,3.29,Ki=509uM,True
1phw,2.36,2004,3.3,Ki=0.5mM,True
1tpw,1.9,1995,3.3,Ki=0.5mM,True
2vw2,1.7,2008,3.3,Ki=0.5mM,True
3aaq,2,2010,3.3,Ki=0.5mM,True
4jss,1.5,2013,3.3,Ki=500uM,True
4mrw,1.96,2014,3.3,Ki=500uM,True
4msa,1.62,2014,3.3,Ki=500uM,True
1i2s,1.7,2002,3.31,Ki=490uM,True
1pzp,1.45,2004,3.31,Ki=490uM,True
2wk6,2.5,2009,3.32,Ki=0.48mM,True
6efj,1.65,2019,3.32,Ki=477uM,True
4bt4,1.6,2013,3.34,Ki=0.46mM,True
3pwk,1.5,2012,3.35,Ki=0.45mM,True
4lkq,1.62,2014,3.35,Ki=450uM,True
1tnh,1.8,1994,3.37,Ki=0.43mM,True
1v2u,1.8,2004,3.37,Ki=427uM,True
3d8z,1.98,2009,3.37,Ki=423uM,True
6mnv,1.65,2019,3.37,Ki=428uM,True
2fzg,2.25,2006,3.38,Ki=420uM,True
4qll,1.85,2015,3.38,Ki=0.42mM,True
4lhm,1.52,2014,3.39,Ki=0.41mM,True
1bxr,2.1,1999,3.4,Ki=0.4mM,True
1f8d,1.4,2001,3.4,Ki=400uM,True
1uz4,1.71,2004,3.4,Ki=400uM,True
2v2c,1.89,2008,3.41,Ki=0.39mM,True
2sim,1.6,1994,3.42,Ki=0.38mM,True
4llj,1.56,2014,3.42,Ki=380uM,True
4n8q,2.08,2014,3.42,Ki=380uM,True
2xog,1.72,2011,3.43,Ki=0.37mM,True
4umc,2.34,2014,3.44,Ki=360uM,True
6exs,2.5,2018,3.44,Ki=362uM,True
1moq,1.57,1998,3.46,Ki=0.35mM,True
3muz,1.9,2011,3.46,Ki=0.35mM,True
4k5p,1.85,2013,3.46,Ki=345uM,True
6hgr,1.52,2019,3.46,Ki=350uM,True
4h42,2.01,2013,3.47,Ki=341uM,True
3g1d,1.5,2009,3.48,Ki=330uM,True
3nyd,1.23,2011,3.48,Ki=330uM,True
1c5o,1.9,2000,3.49,Ki=320uM,True
6d9x,1.83,2018,3.49,Ki=323uM,True
