PDB_ID,Resolution,Year,pKi_or_pKd,Measurement,Is_Ki
3zzf,2.20,2012,0.40,Ki=400mM,True
1w8l,1.80,2004,0.49,Ki=320mM,True
4obv,2.84,2014,0.75,Ki=178mM,True
1wkm,2.30,2005,0.82,Ki=150mM,True
4eu3,1.58,2012,0.82,Ki=150mM,True
1p0y,2.55,2003,1.00,Ki=100.8mM,True
2b1r,2.20,2006,1.00,Ki=101mM,True
2d2v,2.50,2006,1.00,Ki=100mM,True
1aw1,2.70,1998,1.05,Ki=89mM,True
4lh2,1.67,2013,1.24,Ki=58mM,True
1f9g,2.00,2001,1.28,Ki=53mM,True
1b74,2.30,2000,1.30,Ki=50mM,True
2vl1,2.15,2008,1.35,Ki=45mM,True
2hdq,2.10,2006,1.40,Ki=40mM,True
3e81,1.63,2008,1.43,Ki=37mM,True
1ozv,2.65,2003,1.44,Ki=36.6mM,True
1tnk,1.80,1994,1.49,Ki=32.5mM,True
4lh3,1.81,2013,1.52,Ki=30mM,True
3mwe,2.20,2010,1.54,Ki=29mM,True
4amw,1.90,2013,1.55,Ki=28.3mM,True
1iig,2.60,2001,1.57,Ki=27mM,True
3rup,1.99,2011,1.57,Ki=27.0mM,True
2b1q,2.20,2006,1.59,Ki=26mM,True
1w8m,1.65,2004,1.60,Ki=25mM,True
3itc,1.70,2010,1.60,Ki=25mM,True
2it4,2.00,2007,1.62,Ki=24.1mM,True
1a7t,1.85,1998,1.64,Ki=23mM,True
1rdj,1.80,1996,1.66,Ki=21.7mM,True
2o9r,2.30,2007,1.68,Ki=21mM,True
2sfp,1.90,1999,1.70,Ki=20mM,True
3g6m,1.65,2010,1.71,Ki=19.7mM,True
2hdr,2.20,2006,1.72,Ki=19mM,True
1u2y,1.95,2004,1.74,Ki=18mM,True
2zgm,1.90,2009,1.79,Ki=16.4mM,True
1ga8,2.00,2001,1.80,Ki=16mM,True
1bra,2.20,1994,1.82,Ki=15000uM,True
1d5r,2.10,1999,1.82,Ki=15mM,True
1y1m,1.80,2005,1.82,Ki=15.3mM,True
1rdn,1.80,1996,1.84,Ki=14.4mM,True
3khv,2.35,2009,1.85,Ki=13.99mM,True
1tnl,1.90,1994,1.88,Ki=13.3mM,True
4x8s,2.10,2015,1.89,Ki=13mM,True
1f2p,1.80,2001,1.90,Ki=12.7mM,True
1f2o,1.70,2001,1.91,Ki=12.4mM,True
1tnj,1.80,1994,1.96,Ki=11.0mM,True
3i3d,2.20,2010,1.99,Ki=10.3mM,True
1gbt,2.00,1994,2.00,Ki=10mM,True
2hds,1.16,2006,2.00,Ki=10mM,True
3g2y,1.31,2009,2.00,Ki=10mM,True
3pce,2.06,1998,2.00,Ki=10mM,True
2ks9,NMR,2010,2.04,Ki=9.02mM,True
1jfh,2.03,1998,2.05,Ki=9mM,True
1qq9,1.53,2000,2.06,Ki=8.7mM,True
1rdi,1.80,1996,2.06,Ki=8.8mM,True
1njj,2.45,2003,2.10,Ki=8mM,True
3uf9,2.68,2012,2.11,Ki=7.78mM,True
1qx1,1.30,2003,2.12,Ki=7.5mM,True
3gv9,1.80,2009,2.12,Ki=7.5mM,True
1p2g,2.30,2003,2.13,Ki=7.4mM,True
6abx,1.70,2019,2.14,Ki=7.19mM,True
4q90,1.54,2015,2.15,Ki=7.0mM,True
4tim,2.40,1992,2.16,Ki=6.9mM,True
